player,score
Dustin Johnson,268
Sungjae Im,273
Cameron Smith,273
Justin Thomas,276
Rory McIlroy,277
Dylan Frittelli,277
Brooks Koepka,278
Jon Rahm,278
C.T. Pan,278
Corey Conners,279
Patrick Reed,279
Webb Simpson,279
Abraham Ancer,280
Kevin Na,280
Marc Leishman,280
Hideki Matsuyama,280
Xander Schauffele,281
Patrick Cantlay,281
Cameron Champ,282
Sebastian Munoz,282
Tommy Fleetwood,282
Scottie Scheffler,282
Louis Oosthuizen,283
Justin Rose,283
Shane Lowry,284
Charl Schwartzel,284
Ian Poulter,284
Danny Willett,284
Nick Taylor,285
Sung Kang,285
Chez Reavie,285
Bernhard Langer,285
Rickie Fowler,285
Bryson DeChambeau,286
Andy Ogletree ,286
Adam Scott,286
Si Woo Kim,286
Paul Casey,287
Lee Westwood,287
Tony Finau,287
Billy Horschel,287
Tiger Woods,287
Christiaan Bezuidenhout,287
Matt Wallace,289
Matthew Fitzpatrick,289
Jordan Spieth,289
Charles Howell III,289
Victor Perez,289
Mike Weir,290
Zach Johnson,290
Rafa Cabrera Bello,290
Jazz Janewattananond,290
John Augenstein  ,291
Phil Mickelson,291
Bubba Watson,292
Bernd Wiesberger,294
Brandt Snedeker,295
Jimmy Walker,296
Collin Morikawa,288
Shugo Imahira,288
